filename,source_zip,source_csv,compute_source,canonical_kaggle,model,task,write_mode,seq_len,seq_len_int,window,seed,seed_int,batch_size,batch_size_int,steps,d_model,layers,heads,parameters,device,tf_steps,schedule,eval_answer_exact,eval_answer_ce,eval_retrieval_top1,eval_retrieval_topk,eval_true_fact_written_rate,eval_false_write_rate,eval_missed_fact_rate,eval_avg_written_slots,eval_retrieval_margin,train_wall_time_sec,examples_per_sec_recent,eval_examples_per_sec,peak_vram_mb,run_dir,step_log_path
hpm_v2_8192_seed3_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed3_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,3,3,2,2,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.96875,0.03125,0.03125,8.0,11.292795944213868,906.0907623090006,1.324272390742706,13.90525235810428,8425.40869140625,runs/memory_model/20260628_133335_hpm_lite_v2_kv_seed3,runs/memory_model/20260628_133335_hpm_lite_v2_kv_seed3/step_log.csv
hpm_v2_8192_seed4_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed4_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,4,4,2,2,600,128,1,4,1575560,cuda,600,tf600,0.95,3.798712158203125,1.0,1.0,0.9875,0.0125,0.0125,8.0,11.225624656677246,897.5291194810006,1.3358823243047162,14.648409351166237,8425.40869140625,runs/memory_model/20260628_134903_hpm_lite_v2_kv_seed4,runs/memory_model/20260628_134903_hpm_lite_v2_kv_seed4/step_log.csv
hpm_v2_8192_seed5_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed5_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,5,5,2,2,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.9875,0.0125,0.0125,8.0,10.55893440246582,905.3102946769995,1.3257616797131264,13.760865195570798,8425.40869140625,runs/memory_model/20260628_134903_hpm_lite_v2_kv_seed5,runs/memory_model/20260628_134903_hpm_lite_v2_kv_seed5/step_log.csv
hpm_v2_8192_seed6_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed6_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,6,6,2,2,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.98125,0.01875,0.01875,8.0,10.917730808258057,897.3939683210001,1.3391195749031546,14.66887859665182,8425.40869140625,runs/memory_model/20260628_140404_hpm_lite_v2_kv_seed6,runs/memory_model/20260628_140404_hpm_lite_v2_kv_seed6/step_log.csv
hpm_v2_8192_seed7_tf600_lw03_bs2.csv,long,long/results/raw/hpm_v2_8192_seed7_tf600_lw03_bs2.csv,kaggle,1,hpm_lite_v2,kv,learned,8192,8192,256,7,7,2,2,600,128,1,4,1575560,cuda,600,tf600,1.0,7.152552257139179e-08,1.0,1.0,0.975,0.025,0.025,8.0,11.330671977996824,904.6827520099996,1.3293278166697826,13.97909547749272,8425.40869140625,runs/memory_model/20260628_140412_hpm_lite_v2_kv_seed7,runs/memory_model/20260628_140412_hpm_lite_v2_kv_seed7/step_log.csv
hpm_v2_8192_seed4_tf600_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_8192_seed4_tf600_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,8192,8192,256,4,4,1,1,600,128,1,4,1575560,cuda,600,tf600,0.9,8.6490478515625,1.0,1.0,0.975,0.025,0.025,8.0,11.747835371229383,471.0982352999854,1.2805862782147115,15.778061993186984,4248.09228515625,runs\memory_model\20260628_205027_hpm_lite_v2_kv_seed4,runs\memory_model\20260628_205027_hpm_lite_v2_kv_seed4\step_log.csv
hpm_v2_8192_seed12_tf600_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_8192_seed12_tf600_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,8192,8192,256,12,12,1,1,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.9875,0.0125,0.0125,8.0,9.878265953063964,455.6722642999957,1.317966202385797,15.870358217964846,4248.09228515625,runs\memory_model\20260628_210826_hpm_lite_v2_kv_seed12,runs\memory_model\20260628_210826_hpm_lite_v2_kv_seed12\step_log.csv
hpm_v2_8192_seed13_tf600_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_8192_seed13_tf600_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,8192,8192,256,13,13,1,1,600,128,1,4,1575560,cuda,600,tf600,1.0,0.0,1.0,1.0,0.975,0.025,0.025,8.0,10.564431095123291,454.51892800000496,1.322148374123587,15.70431414798248,4248.09228515625,runs\memory_model\20260628_211604_hpm_lite_v2_kv_seed13,runs\memory_model\20260628_211604_hpm_lite_v2_kv_seed13\step_log.csv
hpm_v2_12288_seed0_tf200_lw03_bs1.csv,long,long/results/raw/hpm_v2_12288_seed0_tf200_lw03_bs1.csv,kaggle,1,hpm_lite_v2,kv,learned,12288,12288,256,0,0,1,1,600,128,1,4,2099848,cuda,200,tf200,0.6,8.066199016571044,1.0,1.0,0.725,0.275,0.275,8.0,10.423234621683756,961.179977418,0.6247711611619833,9.354551634179533,6361.78271484375,runs/memory_model/20260628_150508_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_150508_hpm_lite_v2_kv_seed0/step_log.csv
hpm_v2_12288_seed1_tf200_lw03_bs1.csv,long,long/results/raw/hpm_v2_12288_seed1_tf200_lw03_bs1.csv,kaggle,1,hpm_lite_v2,kv,learned,12288,12288,256,1,1,1,1,600,128,1,4,2099848,cuda,200,tf200,0.7,1.5922921419143676,1.0,1.0,0.7625,0.2375,0.2375,8.0,8.335511139460973,962.1839282280016,0.6248018147699977,9.128677908611213,6361.78271484375,runs/memory_model/20260628_150542_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_150542_hpm_lite_v2_kv_seed1/step_log.csv
hpm_v2_12288_seed6_tf200_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_12288_seed6_tf200_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,12288,12288,256,6,6,1,1,600,128,1,4,2099848,cuda,200,tf200,0.9,0.9127953529357912,1.0,1.0,0.7,0.3,0.3,8.0,10.288625717163086,932.7199973999814,0.6437620340853136,10.407056400314788,6361.78271484375,runs\memory_model\20260628_215429_hpm_lite_v2_kv_seed6,runs\memory_model\20260628_215429_hpm_lite_v2_kv_seed6\step_log.csv
hpm_v2_12288_seed0_tf600_lw03_bs1.csv,long,long/results/raw/hpm_v2_12288_seed0_tf600_lw03_bs1.csv,kaggle,1,hpm_lite_v2,kv,learned,12288,12288,256,0,0,1,1,600,128,1,4,2099848,cuda,600,tf600,0.9,4.43114013671875,1.0,1.0,0.9625,0.0375,0.0375,8.0,10.718617015414768,956.6471633729998,0.6266279944197461,9.349002201183705,6361.78271484375,runs/memory_model/20260628_144908_hpm_lite_v2_kv_seed0,runs/memory_model/20260628_144908_hpm_lite_v2_kv_seed0/step_log.csv
hpm_v2_12288_seed1_tf600_lw03_bs1.csv,long,long/results/raw/hpm_v2_12288_seed1_tf600_lw03_bs1.csv,kaggle,1,hpm_lite_v2,kv,learned,12288,12288,256,1,1,1,1,600,128,1,4,2099848,cuda,600,tf600,1.0,0.0,1.0,1.0,0.925,0.075,0.075,8.0,9.941868877410888,961.710156645,0.6239720203152872,9.038154435187698,6361.78271484375,runs/memory_model/20260628_144937_hpm_lite_v2_kv_seed1,runs/memory_model/20260628_144937_hpm_lite_v2_kv_seed1/step_log.csv
hpm_v2_12288_seed6_tf600_lw03_bs1_pc.csv,pc,pc/results/raw/hpm_v2_12288_seed6_tf600_lw03_bs1_pc.csv,pc,0,hpm_lite_v2,kv,learned,12288,12288,256,6,6,1,1,600,128,1,4,2099848,cuda,600,tf600,1.0,0.0,1.0,1.0,0.9875,0.0125,0.0125,8.0,10.694852161407471,933.3528384000238,0.6434969481552009,10.429853913160349,6361.78271484375,runs\memory_model\20260628_213854_hpm_lite_v2_kv_seed6,runs\memory_model\20260628_213854_hpm_lite_v2_kv_seed6\step_log.csv
