filename,compute_source,source_zip,seq_len,seed,tf_steps,batch_size,step,eval_exact,eval_ce,eval_ret_top1,writer_recall,loss
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,350,0.95,3.884,1.0,0.9062,0.0007
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,400,0.85,16.115,1.0,0.9688,0.0004
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,450,0.9,7.9245,1.0,0.9688,0.0002
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,500,0.925,4.6925,1.0,0.9688,0.0003
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,550,0.9,7.6782,1.0,0.9688,0.0002
hpm_v2_4096_seed3_tf600_lw03_bs4.csv,kaggle,long,4096,3,600,4,600,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,50,0.675,16.0154,1.0,0.6562,0.0112
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,100,0.8,16.9231,1.0,0.6875,0.0045
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,150,0.775,22.895,1.0,0.8125,0.0023
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,200,0.9,10.2088,1.0,0.8125,0.0021
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,250,0.95,4.3742,1.0,0.8438,0.0012
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,300,0.925,6.916,1.0,0.9375,0.001
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,350,0.9,9.6055,1.0,1.0,0.0007
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,400,1.0,0.0,1.0,0.9688,0.0003
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,450,1.0,0.0,1.0,1.0,0.0002
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,500,1.0,0.0,1.0,0.9688,0.0003
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,550,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed4_tf600_lw03_bs4.csv,kaggle,long,4096,4,600,4,600,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,50,0.45,23.6464,1.0,0.5625,0.0151
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,100,0.6,32.963,1.0,0.6875,0.0044
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,150,0.775,23.3363,1.0,0.8438,0.0024
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,200,0.9,9.13,1.0,0.875,0.0014
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,250,0.9,9.6278,1.0,0.9688,0.0009
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,300,0.975,2.2851,1.0,0.875,0.0009
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,350,0.95,3.5705,1.0,0.9062,0.0007
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,400,0.975,3.3639,1.0,0.9062,0.0008
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,450,1.0,0.0,1.0,0.9688,0.0003
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,500,1.0,0.0,1.0,0.9688,0.0002
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,550,1.0,0.0,1.0,1.0,0.0001
hpm_v2_4096_seed5_tf600_lw03_bs4.csv,kaggle,long,4096,5,600,4,600,1.0,0.0,1.0,1.0,0.0001
